,Link,Cena,Cena za metr,Pokoje,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie
60,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-wykonczone-pod-klucz-ID4o3dS,610000,13988,2,"43,61 m²",pełna własność,2 ,do zamieszkania,1/4,balkon,400 zł,garaż/miejsce parkingowe,tak,Zapytaj
61,https://www.otodom.pl/pl/oferta/mieszkanie-wlasnosciowe-dorycka-5-25m2-ID4o3dR,399000,15960,1,25 m²,pełna własność,Zapytaj,do wykończenia,3/10,balkon,500 zł,Zapytaj,tak,miejskie
62,https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-45-m2-ozarow-ID4o3du,560000,12335,2,"45,4 m²",Zapytaj,2 ,do zamieszkania,2/3,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
63,https://www.otodom.pl/pl/oferta/okazja-narozne-rozkladowe-3-pokoje-ID4o3dt,979990,17043,3,"57,5 m²",pełna własność,3 ,Zapytaj,2/3,balkon,650 zł,Zapytaj,Zapytaj,miejskie
64,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-warszawa-bialoleka-ID4o3d1,649000,12315,2,"52,7 m²",pełna własność,2 ,do zamieszkania,2/4,balkon,750 zł,Zapytaj,tak,miejskie
65,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-na-sprzedaz-ID4o3cX,950000,12838,5,74 m²,pełna własność,5 ,Zapytaj,2/7,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
66,https://www.otodom.pl/pl/oferta/0-prow-nowe-53-m2-3-pok-pruszkow-ID4o3cW,547760,10250,3,"53,44 m²",pełna własność,3 ,Zapytaj,2/6,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
67,https://www.otodom.pl/pl/oferta/0-prow-nowe-56-m2-3-pok-pruszkow-ID4o3cU,617100,11000,3,"56,1 m²",pełna własność,3 ,Zapytaj,6/6,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
68,https://www.otodom.pl/pl/oferta/0-prow-nowe-53-m2-3-pok-pruszkow-ID4o3cS,562523,10450,3,"53,83 m²",pełna własność,3 ,Zapytaj,5/6,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
69,https://www.otodom.pl/pl/oferta/sielce-2-pokoje-cegla-prawie-3m-wysokosci-ID4o3cJ,775000,15005,2,"51,65 m²",Zapytaj,2 ,do remontu,parter/4,Zapytaj,700 zł,Zapytaj,Zapytaj,Zapytaj
70,https://www.otodom.pl/pl/oferta/widne-3-pokojowe-mieszkanie-w-centrum-pruszkowa-ID4o3cC,520000,10833,3,48 m²,Zapytaj,3 ,Zapytaj,4/5,balkon,650 zł,Zapytaj,Zapytaj,miejskie
71,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-praga-poludnie-z-balkonem-ID4o3c9,1025269,14900,3,"68,81 m²",pełna własność,3 ,do wykończenia,4/4,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
