Cena,Cena za metr,Pokoje,Powierzchnia1,Link,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie
878000,22805,1,"38,5",https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-mokotow-gorny-ID4o2zz,"38,5 m²",pełna własność,Zapytaj,do zamieszkania,3/4,balkon,670 zł,Zapytaj,Zapytaj,miejskie
650000,18056,2,36,https://www.otodom.pl/pl/oferta/mieszkanie-36-m-warszawa-ID4o2z6,36 m²,Zapytaj,2 ,Zapytaj,4/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
999000,14271,3,70,https://www.otodom.pl/pl/oferta/przestronne-3m-z-ogrodkiem-spacer-3d-ID4o2yE,70 m²,pełna własność,3 ,do zamieszkania,parter/6,ogródek,1 180 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
1870000,22942,3,"81,51",https://www.otodom.pl/pl/oferta/81-51-m2-przy-rydygiera-na-ostatnim-pietrze-ID4o2ya,"81,51 m²",pełna własność,3 ,do zamieszkania,9/9,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
600000,16086,2,"37,3",https://www.otodom.pl/pl/oferta/komfortowe-2-pokojowe-mieszkanie-al-jerozolimskie-ID4o2y8,"37,3 m²",pełna własność,2 ,do zamieszkania,9/10,balkon,1 000 zł,Zapytaj,Zapytaj,miejskie
692000,14417,2,48,https://www.otodom.pl/pl/oferta/dwa-pokoje-w-kamienicy-48-m2-miejsce-postojowe-ID4o2xS,48 m²,pełna własność,2 ,Zapytaj,1/4,Zapytaj,714 zł,Zapytaj,Zapytaj,Zapytaj
1455500,19938,3,73,https://www.otodom.pl/pl/oferta/chmielna-kamienica-klimatyczne-ID4o2xO,73 m²,Zapytaj,3 ,Zapytaj,2/6,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie
1350000,18000,4,75,https://www.otodom.pl/pl/oferta/apartament-rondo-wiatraczna-stan-deweloperski-ID4o2xp,75 m²,pełna własność,4 ,do zamieszkania,3/6,balkon,700 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
540000,14536,1,"37,15",https://www.otodom.pl/pl/oferta/duza-kawalerka-z-opcja-dwoch-pokoi-ID4o2vV,"37,15 m²",pełna własność,Zapytaj,Zapytaj,3/3,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie
640000,16410,2,39,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-mokotow-blisko-metra-ID4o2vz,39 m²,spółdzielcze wł. prawo do lokalu,2 ,Zapytaj,9/10,balkon,580 zł,Zapytaj,Zapytaj,miejskie
1250000,20129,3,"62,1",https://www.otodom.pl/pl/oferta/elegancki-apartament-gotowy-do-wprowadzenia-ID4o2vl,"62,1 m²",pełna własność,3 ,Zapytaj,3/7,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
880000,19556,2,45,https://www.otodom.pl/pl/oferta/bezposrednio-luksusowe-dwupokojowe-mieszkanie-wola-ID4o2wC,45 m²,Zapytaj,2 ,do zamieszkania,2/4,Zapytaj,460 zł,Zapytaj,Zapytaj,miejskie
1968000,24000,3,82,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-rog-koszykowej-i-niepodle-ID4o2wB,82 m²,pełna własność,3 ,do zamieszkania,1/5,balkon,960 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
610000,12200,3,50,https://www.otodom.pl/pl/oferta/kup-nieruchomosc-na-bielanach-m2-m3-oraz-inne-ID4o2wk,50 m²,pełna własność,3 ,Zapytaj,1,balkon,550 zł,garaż/miejsce parkingowe,Zapytaj,inne
560000,15301,1,"36,6",https://www.otodom.pl/pl/oferta/tania-kawalerka-z-potencjalem-inwestycyjnym-ID4o2tL,"36,6 m²",pełna własność,Zapytaj,do remontu,> 10/16,Zapytaj,800 zł,Zapytaj,Zapytaj,Zapytaj
784000,14000,3,56,https://www.otodom.pl/pl/oferta/ostatnia-szansa-na-kredyt-2-ID4o2t7,56 m²,pełna własność,3 ,do wykończenia,5/12,balkon,600 zł,Zapytaj,Zapytaj,miejskie
830000,11621,3,"71,42",https://www.otodom.pl/pl/oferta/100m-ogrodekniska-zabudowadwustronne-ID4o2t0,"71,42 m²",Zapytaj,3 ,Zapytaj,parter/3,"ogródek, taras",1 100 zł,Zapytaj,Zapytaj,Zapytaj
919000,17643,2,"52,09",https://www.otodom.pl/pl/oferta/2-pokoje-kolo-metra-sluzew-swiezo-po-remoncie-ID4o2sN,"52,09 m²",pełna własność,2 ,Zapytaj,6/8,Zapytaj,828 zł,garaż/miejsce parkingowe,tak,miejskie
700000,18373,2,"38,1",https://www.otodom.pl/pl/oferta/w-kapciach-do-metra-plocka-piekne-po-remoncie-ID4o2sj,"38,1 m²",spółdzielcze wł. prawo do lokalu,2 ,do zamieszkania,1/15,balkon,680 zł,Zapytaj,tak,miejskie
940000,19442,3,"48,35",https://www.otodom.pl/pl/oferta/3-pokoje-z-balkonem-piwnica-kamienica-grochow-ID4o2sa,"48,35 m²",pełna własność,3 ,do zamieszkania,1/4,balkon,800 zł,Zapytaj,Zapytaj,Zapytaj
1179696,13999,4,"84,27",https://www.otodom.pl/pl/oferta/mieszkanie-pod-klucz-ID4o2s5,"84,27 m²",Zapytaj,4 ,Zapytaj,parter/3,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
